"email_id","status","alert_id","error_message","retry_count"
"43457","processed","9807","","0"
"43456","processed","9808","","0"
"42622","failed","","Failed to extract data: Data Extraction Service error: 500","1"
"42322","failed","","Failed to extract data: Data Extraction Service error: 500","1"
"42189","failed","","Failed to extract data: Data Extraction Service error: 500","1"
"38405","processed","9809","","0"
"38404","processed","9810","","0"
"38403","processed","9811","","0"
"38402","processed","9812","","0"
"38401","processed","9813","","0"
"38400","processed","9814","","0"
"38399","processed","9815","","0"
"38398","processed","9816","","0"
"38397","processed","9817","","0"
"38396","processed","9818","","0"
"38395","processed","9819","","0"
"38394","processed","9820","","0"
"38393","processed","9821","","0"
"38392","processed","9822","","0"
"38391","processed","9823","","0"
"38390","processed","9824","","0"
"38389","processed","9825","","0"
"38388","processed","9826","","0"
"38387","processed","9827","","0"
"38386","processed","9828","","0"
"38385","processed","9829","","0"
"38384","processed","9830","","0"
"38383","processed","9831","","0"
"38382","processed","9832","","0"
"38381","processed","9833","","0"
"38379","processed","9834","","0"
"38378","processed","9835","","0"
"38377","processed","9836","","0"
"38376","processed","9837","","0"
"38375","processed","9838","","0"
"38374","processed","9839","","0"
"38373","processed","9840","","0"
"38372","processed","9841","","0"
"38371","processed","9842","","0"
"38370","processed","9843","","0"
"38369","processed","9844","","0"
"38368","processed","9845","","0"
"38367","processed","9846","","0"
"38366","processed","9847","","0"
"38365","processed","9848","","0"
"38364","processed","9849","","0"
"38363","processed","9850","","0"
"38362","processed","9851","","0"
"38361","processed","9852","","0"
"38360","processed","9853","","0"
"38359","processed","9854","","0"
"38358","processed","9855","","0"
"38357","processed","9856","","0"
"38356","processed","9857","","0"
"38355","processed","9858","","0"
"38354","processed","9859","","0"
"38353","processed","9860","","0"
"38352","processed","9861","","0"
"38351","processed","9862","","0"
"38350","processed","9863","","0"
"38349","processed","9864","","0"
"38348","processed","9865","","0"
"38347","processed","9866","","0"
"38346","processed","9867","","0"
"38345","processed","9868","","0"
"38344","processed","9869","","0"
"38343","failed","","Failed to get alert by alert key: fetch failed","1"
"38342","failed","","Failed to update email status: fetch failed","1"
"38341","failed","","Failed to update email status: Database service error: 500","1"
"38340","failed","","Failed to update email status: Database service error: 500","1"
"38339","failed","","Failed to update email status: Database service error: 500","1"
"38338","failed","","Failed to update email status: Database service error: 500","1"
"38337","failed","","Failed to update email status: Database service error: 500","1"
"38336","failed","","Failed to update email status: Database service error: 500","1"
"38335","failed","","Failed to update email status: Database service error: 500","1"
"38334","failed","","Failed to update email status: Database service error: 500","1"
"38333","failed","","Failed to update email status: Database service error: 500","1"
"38332","failed","","Failed to update email status: Database service error: 500","1"
"38331","failed","","Failed to update email status: Database service error: 500","1"
"38330","failed","","Failed to update email status: Database service error: 500","1"
"38329","failed","","Failed to get alert by alert key: fetch failed","1"
"38328","processed","9870","","0"
"38327","processed","9871","","0"
"38326","processed","9872","","0"
"38325","processed","9873","","0"
"38324","processed","9874","","0"
"38323","processed","9875","","0"
"38322","processed","9876","","0"
"38321","processed","9877","","0"
"38320","processed","9878","","0"
"38319","processed","9879","","0"
"38318","processed","9880","","0"
"38317","processed","9881","","0"
"38316","processed","9882","","0"
"38315","processed","9883","","0"
"38314","processed","9884","","0"
"38313","processed","9885","","0"
"38312","processed","9886","","0"
"38311","processed","9887","","0"
"38310","processed","9888","","0"
"38309","processed","9889","","0"
"38308","processed","9890","","0"
"38307","processed","9891","","0"
"38306","processed","9892","","0"
"38305","processed","9893","","0"
"38304","processed","9894","","0"
"38303","processed","9895","","0"
"38302","processed","9896","","0"
"38301","processed","9897","","0"
"38300","processed","9898","","0"
"38299","processed","9899","","0"
"38298","processed","9900","","0"
"38297","processed","9901","","0"
"38296","processed","9902","","0"
"38295","processed","9903","","0"
"38294","processed","9904","","0"
"38293","processed","9905","","0"
"38292","processed","9906","","0"
"38291","processed","9907","","0"
"38290","processed","9908","","0"
"38289","processed","9909","","0"
